,Period,Step,Payment,Interest,Principal,Balance,Growth Rate,cumPmt,cumInt,cumP,additional_payment
0,1,0,6341.107563417264,521.186917808219,5819.920645609045,114963.07935439095,0,6341.107563417264,521.186917808219,5819.920645609045,1000
1,2,0,6341.107563417264,496.0735615977144,5845.034001819549,109118.04535257141,0,12682.215126834528,1017.2604794059334,11664.954647428594,1000
2,3,0,6341.107563417264,470.8518395350684,5870.2557238821955,103247.78962868922,0,19023.322690251793,1488.1123189410018,17535.21037131079,1000
3,4,0,6341.107563417264,445.52128401420686,5895.586279403057,97352.20334928617,0,25364.430253669056,1933.6336029552087,23430.796650713848,1000
4,5,0,6341.107563417264,420.08142541130326,5921.026138005961,91431.1772112802,0,31705.53781708632,2353.715028366512,29351.822788719808,1000
5,6,0,6341.107563417264,394.53179207607207,5946.575771341192,85484.60143993901,0,38046.645380503585,2748.246820442584,35298.398560061,1000
6,7,0,6341.107563417264,368.8719103230245,5972.23565309424,79512.36578684478,0,44387.75294392085,3117.1187307656087,41270.634213155245,1000
7,8,0,6341.107563417264,343.1013044226863,5998.006258994577,73514.3595278502,0,50728.86050733812,3460.220035188295,47268.640472149826,1000
8,9,0,6341.107563417264,317.2194965927782,6023.888066824486,67490.47146102572,0,57069.968070755385,3777.439531781073,53292.52853897431,1000
9,10,0,6341.107563417264,291.22600698935753,6049.881556427907,61440.589904597815,0,63411.07563417265,4068.6655387704304,59342.410095402214,1000
10,11,0,6341.107563417264,265.12035369792204,6075.987209719342,55364.60269487847,0,69752.18319758991,4333.785892468352,65418.39730512156,1000
11,12,0,6341.107563417264,238.90205272447557,6102.205510692788,49262.397184185684,0,76093.29076100717,4572.687945192828,71520.60281581435,1000
12,13,0,6341.107563417264,212.57061798655465,6128.536945430709,43133.860238754976,0,82434.39832442443,4785.258563179383,77649.13976124505,1000
13,14,0,6341.107563417264,186.12556130421666,6154.982002113047,36978.87823664193,0,88775.50588784169,4971.384124483599,83804.1217633581,1000
14,15,0,6341.107563417264,159.56639239098914,6181.541171026275,30797.33706561566,0,95116.61345125895,5130.950516874588,89985.66293438437,1000
15,16,0,6341.107563417264,132.8926188447799,6208.2149445724845,24589.122121043176,0,101457.72101467621,5263.843135719368,96193.87787895685,1000
16,17,0,6341.107563417264,106.10374613874794,6235.003817278516,18354.11830376466,0,107798.82857809347,5369.946881858115,102428.88169623536,1000
17,18,0,6341.107563417264,79.19927761213518,6261.908285805129,12092.210017959529,0,114139.93614151073,5449.1461594702505,108690.78998204049,1000
18,19,0,6341.107563417264,52.178714461058235,6288.928848956206,5803.281169003323,0,120481.04370492799,5501.3248739313085,114979.71883099669,1000
19,20,0,6341.107563417264,25.041555729260914,6316.066007688003,-512.7848386846799,0,126822.15126834525,5526.366429660569,121295.78483868469,1000
